state,county,fips,year,office,party,candidate,candidatevotes_sum
Alabama,Cullman,01043,2016,President,republican,Donald Trump,32989
Alabama,Dale,01045,2000,President,democrat,Al Gore,4906
Alabama,Dale,01045,2000,President,republican,George W. Bush,10593
Alabama,Dale,01045,2004,President,democrat,John Kerry,4484
Alabama,Dale,01045,2004,President,republican,George W. Bush,13621
Alabama,Dale,01045,2008,President,democrat,Barack Obama,5270
Alabama,Dale,01045,2008,President,republican,John McCain,13886
Alabama,Dale,01045,2012,President,democrat,Barack Obama,5286
Alabama,Dale,01045,2012,President,republican,Mitt Romney,13108
Alabama,Dale,01045,2016,President,democrat,Hillary Clinton,4413
Alabama,Dale,01045,2016,President,republican,Donald Trump,13808
Alabama,Dallas,01047,2000,President,democrat,Al Gore,10967
Alabama,Dallas,01047,2000,President,republican,George W. Bush,7360
Alabama,Dallas,01047,2004,President,democrat,John Kerry,11175
Alabama,Dallas,01047,2004,President,republican,George W. Bush,7335
Alabama,Dallas,01047,2008,President,democrat,Barack Obama,13986
Alabama,Dallas,01047,2008,President,republican,John McCain,6798
Alabama,Dallas,01047,2012,President,democrat,Barack Obama,14612
Alabama,Dallas,01047,2012,President,republican,Mitt Romney,6288
Alabama,Dallas,01047,2016,President,democrat,Hillary Clinton,12836
Alabama,Dallas,01047,2016,President,republican,Donald Trump,5789
Alabama,DeKalb,01049,2000,President,democrat,Al Gore,7056
Alabama,DeKalb,01049,2000,President,republican,George W. Bush,12827
Alabama,DeKalb,01049,2004,President,democrat,John Kerry,7092
Alabama,DeKalb,01049,2004,President,republican,George W. Bush,16904
Alabama,DeKalb,01049,2008,President,democrat,Barack Obama,5658
Alabama,DeKalb,01049,2008,President,republican,John McCain,17957
Alabama,DeKalb,01049,2012,President,democrat,Barack Obama,5239
Alabama,DeKalb,01049,2012,President,republican,Mitt Romney,18331
Alabama,DeKalb,01049,2016,President,democrat,Hillary Clinton,3622
Alabama,DeKalb,01049,2016,President,republican,Donald Trump,21405
Alabama,Elmore,01051,2000,President,democrat,Al Gore,6652
Alabama,Elmore,01051,2000,President,republican,George W. Bush,16777
Alabama,Elmore,01051,2004,President,democrat,John Kerry,6471
Alabama,Elmore,01051,2004,President,republican,George W. Bush,22056
Alabama,Elmore,01051,2008,President,democrat,Barack Obama,8301
Alabama,Elmore,01051,2008,President,republican,John McCain,25777
Alabama,Elmore,01051,2012,President,democrat,Barack Obama,8954
Alabama,Elmore,01051,2012,President,republican,Mitt Romney,26253
Alabama,Elmore,01051,2016,President,democrat,Hillary Clinton,8443
Alabama,Elmore,01051,2016,President,republican,Donald Trump,27634
Alabama,Escambia,01053,2000,President,democrat,Al Gore,4523
Alabama,Escambia,01053,2000,President,republican,George W. Bush,6975
Alabama,Escambia,01053,2004,President,democrat,John Kerry,3814
Alabama,Escambia,01053,2004,President,republican,George W. Bush,8513
Alabama,Escambia,01053,2008,President,democrat,Barack Obama,5188
Alabama,Escambia,01053,2008,President,republican,John McCain,9375
Alabama,Escambia,01053,2012,President,democrat,Barack Obama,5489
Alabama,Escambia,01053,2012,President,republican,Mitt Romney,9287
Alabama,Escambia,01053,2016,President,democrat,Hillary Clinton,4605
Alabama,Escambia,01053,2016,President,republican,Donald Trump,9935
Alabama,Etowah,01055,2000,President,democrat,Al Gore,17433
Alabama,Etowah,01055,2000,President,republican,George W. Bush,21087
Alabama,Etowah,01055,2004,President,democrat,John Kerry,15328
Alabama,Etowah,01055,2004,President,republican,George W. Bush,26999
Alabama,Etowah,01055,2008,President,democrat,Barack Obama,13497
Alabama,Etowah,01055,2008,President,republican,John McCain,30595
Alabama,Etowah,01055,2012,President,democrat,Barack Obama,12803
Alabama,Etowah,01055,2012,President,republican,Mitt Romney,29130
Alabama,Etowah,01055,2016,President,democrat,Hillary Clinton,10442
Alabama,Etowah,01055,2016,President,republican,Donald Trump,32353
Alabama,Fayette,01057,2000,President,democrat,Al Gore,3064
Alabama,Fayette,01057,2000,President,republican,George W. Bush,4582
Alabama,Fayette,01057,2004,President,democrat,John Kerry,2408
Alabama,Fayette,01057,2004,President,republican,George W. Bush,5534
Alabama,Fayette,01057,2008,President,democrat,Barack Obama,1994
Alabama,Fayette,01057,2008,President,republican,John McCain,5883
Alabama,Fayette,01057,2012,President,democrat,Barack Obama,1817
Alabama,Fayette,01057,2012,President,republican,Mitt Romney,6054
Alabama,Fayette,01057,2016,President,democrat,Hillary Clinton,1362
Alabama,Fayette,01057,2016,President,republican,Donald Trump,6712
Alabama,Franklin,01059,2000,President,democrat,Al Gore,4793
Alabama,Franklin,01059,2000,President,republican,George W. Bush,6119
Alabama,Franklin,01059,2004,President,democrat,John Kerry,4514
Alabama,Franklin,01059,2004,President,republican,George W. Bush,7690
Alabama,Franklin,01059,2008,President,democrat,Barack Obama,3469
Alabama,Franklin,01059,2008,President,republican,John McCain,8048
Alabama,Franklin,01059,2012,President,democrat,Barack Obama,3171
Alabama,Franklin,01059,2012,President,republican,Mitt Romney,7567
Alabama,Franklin,01059,2016,President,democrat,Hillary Clinton,2197
Alabama,Franklin,01059,2016,President,republican,Donald Trump,9466
Alabama,Geneva,01061,2000,President,democrat,Al Gore,2769
Alabama,Geneva,01061,2000,President,republican,George W. Bush,6588
Alabama,Geneva,01061,2004,President,democrat,John Kerry,2113
Alabama,Geneva,01061,2004,President,republican,George W. Bush,8342
Alabama,Geneva,01061,2008,President,democrat,Barack Obama,2134
Alabama,Geneva,01061,2008,President,republican,John McCain,9417
Alabama,Geneva,01061,2012,President,democrat,Barack Obama,2039
Alabama,Geneva,01061,2012,President,republican,Mitt Romney,9175
Alabama,Geneva,01061,2016,President,democrat,Hillary Clinton,1525
Alabama,Geneva,01061,2016,President,republican,Donald Trump,9994
